Protein_ID	gene	mRNA_ID
YP_003043230.1	thrL	ECB_00001
YP_003043231.1	thrA	ECB_00002
YP_003043232.1	thrB	ECB_00003
YP_003043233.1	thrC	ECB_00004
YP_003043234.1	yaaX	ECB_00005
YP_003043235.1	yaaA	ECB_00006
YP_003043236.1	yaaJ	ECB_00007
YP_003043237.1	talB	ECB_00008
YP_003043238.1	mogA	ECB_00009
YP_003043239.1	yaaH	ECB_00010
YP_003043242.1	yaaI	ECB_00013
YP_003043243.1	dnaK	ECB_00014
YP_003043244.1	dnaJ	ECB_00015
YP_003043245.1	insL-1	ECB_00016
YP_003043246.1	mokC	ECB_00017
YP_003043247.1	hokC	ECB_04280
YP_003043248.1	nhaA	ECB_00018
YP_003043249.1	nhaR	ECB_00019
YP_003043250.1	ggg	ECB_00020
YP_003043251.1	ggg	ECB_00021
YP_003043252.1	ggg	ECB_00022
YP_003043253.1	insA-1	ECB_00023
YP_003043254.1	insB-1	ECB_00024
YP_003043255.1	ggg	ECB_00025
YP_003043256.1	ggg	ECB_00026
YP_003043257.1	rpsT	ECB_00027
YP_003043258.1	yaaY	ECB_00028
YP_003043259.1	ribF	ECB_00029
YP_003043260.1	ileS	ECB_00030
YP_003043261.1	lspA	ECB_00031
YP_003043262.1	fkpB	ECB_00032
YP_003043263.1	ispH	ECB_00033
YP_003043264.1	rihC	ECB_00034
YP_003043265.1	dapB	ECB_00035
YP_003043266.1	carA	ECB_00036
YP_003043267.1	carB	ECB_00037
YP_003043268.1	caiF	ECB_00038
YP_003043269.1	caiE	ECB_00039
YP_003043270.1	caiD	ECB_00040
YP_003043271.1	caiC	ECB_00041
YP_003043272.1	caiA	ECB_00043
YP_003043273.1	caiT	ECB_00044
YP_003043274.1	fixA	ECB_00045
YP_003043275.1	fixB	ECB_00046
YP_003043276.1	fixC	ECB_00047
YP_003043277.1	fixX	ECB_00048
YP_003043278.1	yaaU	ECB_00049
YP_003043279.1	yabF	ECB_00050
YP_003043280.1	kefC	ECB_00051
YP_003043281.1	folA	ECB_00052
YP_003043282.1	apaH	ECB_00053
YP_003043283.1	apaG	ECB_00054
YP_003043284.1	ksgA	ECB_00055
YP_003043285.1	pdxA	ECB_00056
YP_003043286.1	surA	ECB_00057
YP_003043287.1	imp	ECB_00058
YP_003043288.1	djlA	ECB_00059
YP_003043289.1	rluA	ECB_00060
YP_003043290.1	hepA	ECB_00061
YP_003043291.1	polB	ECB_00062
YP_003043292.1	araD	ECB_00063
YP_003043293.1	araA	ECB_00064
YP_003043294.1	araB	ECB_00065
YP_003043295.1	araC	ECB_00066
YP_003043296.1	yabI	ECB_00067
YP_003043297.1	thiQ	ECB_00068
YP_003043298.1	thiP	ECB_00069
YP_003043299.1	tbpA	ECB_00070
YP_003043300.1	yabN	ECB_00071
YP_003043301.1	setA	ECB_00072
YP_003043302.1	leuD	ECB_00073
YP_003043303.1	leuC	ECB_00074
YP_003043304.1	leuB	ECB_00075
YP_003043305.1	leuA	ECB_00076
YP_003043306.1	leuL	ECB_00077
YP_003043307.1	leuO	ECB_00078
YP_003043308.1	ilvI	ECB_00079
YP_003043309.1	ilvH	ECB_00080
YP_003043310.1	fruR	ECB_00081
YP_003043311.1	yabB	ECB_00082
YP_003043312.1	mraW	ECB_00083
YP_003043313.1	ftsL	ECB_00084
YP_003043314.1	ftsI	ECB_00085
YP_003043315.1	murE	ECB_00086
YP_003043316.1	murF	ECB_00087
YP_003043317.1	mraY	ECB_00088
YP_003043318.1	murD	ECB_00089
YP_003043319.1	ftsW	ECB_00090
YP_003043320.1	murG	ECB_00091
YP_003043321.1	murC	ECB_00092
YP_003043322.1	ddl	ECB_00093
YP_003043323.1	ftsQ	ECB_00094
YP_003043324.1	ftsA	ECB_00095
YP_003043325.1	ftsZ	ECB_00096
YP_003043326.1	lpxC	ECB_00097
YP_003043327.1	yacA	ECB_00098
YP_003043328.1	secA	ECB_00099
YP_003043329.1	mutT	ECB_00100
YP_003043330.1	yacG	ECB_00101
YP_003043331.1	yacF	ECB_00102
YP_003043332.1	coaE	ECB_00103
YP_003043333.1	guaC	ECB_00104
YP_003043334.1	hofC	ECB_00105
YP_003043335.1	hofB	ECB_00106
YP_003043336.1	ppdD	ECB_00107
YP_003043337.1	nadC	ECB_00108
YP_003043338.1	ampD	ECB_00109
YP_003043339.1	ampE	ECB_00110
YP_003043340.1	aroP	ECB_00111
YP_003043341.1	pdhR	ECB_00112
YP_003043342.1	aceE	ECB_00113
YP_003043343.1	aceF	ECB_00114
YP_003043344.1	lpdA	ECB_00115
YP_003043345.1	yacH	ECB_00116
YP_003043346.1	acnB	ECB_00117
YP_003043347.1	yacL	ECB_00118
YP_003043348.1	speD	ECB_00119
YP_003043349.1	speE	ECB_00120
YP_003043350.1	yacC	ECB_00121
YP_003043351.1	cueO	ECB_00122
YP_003043352.1	gcd	ECB_00123
YP_003043353.1	hpt	ECB_00124
YP_003043354.1	yadF	ECB_00125
YP_003043355.1	yadG	ECB_00126
YP_003043356.1	yadH	ECB_00127
YP_003043357.1	yadI	ECB_00128
YP_003043358.1	yadE	ECB_00129
YP_003043359.1	panD	ECB_00130
YP_003043360.1	yadD	ECB_00131
YP_003043361.1	panC	ECB_00132
YP_003043362.1	panB	ECB_00133
YP_003043363.1	yadC	ECB_00134
YP_003043364.1	yadK	ECB_00135
YP_003043365.1	yadL	ECB_00136
YP_003043366.1	yadM	ECB_00137
YP_003043367.1	htrE	ECB_00138
YP_003043368.1	ecpD	ECB_00139
YP_003043369.1	yadN	ECB_00140
YP_003043370.1	folK	ECB_00141
YP_003043371.1	pcnB	ECB_00142
YP_003043372.1	yadB	ECB_00143
YP_003043373.1	dksA	ECB_00144
YP_003043374.1	sfsA	ECB_00145
YP_003043375.1	ligT	ECB_00146
YP_003043376.1	hrpB	ECB_00147
YP_003043377.1	mrcB	ECB_00148
YP_003043378.1	fhuA	ECB_00149
YP_003043379.1	fhuC	ECB_00150
YP_003043380.1	fhuD	ECB_00151
YP_003043381.1	fhuB	ECB_00152
YP_003043382.1	hemL	ECB_00153
YP_003043383.1	yadQ	ECB_00154
YP_003043384.1	yadR	ECB_00155
YP_003043385.1	yadS	ECB_00156
YP_003043386.1	yadT	ECB_00157
YP_003043387.1	pfs	ECB_00158
YP_003043388.1	dgt	ECB_00159
YP_003043389.1	degP	ECB_00160
YP_003043390.1	cdaR	ECB_00161
