"Sample.","dataSet","Experiment","Batch","GrowthConditions","Growthtime.hr.","HarvestDate","Notes.NGS.","Cell_total","cells_per_tube","X.tubesinstorage","concentration","cellCondition","condition","Batch_Concentration","Batch_Number"
16,"MURI_016","glucose_time_course","008t3","glucose","3","2/13/13","JA13558",1.1e+10,2.2e+09,1,NA,"t","glucose_t3","008","008"
17,"MURI_017","glucose_time_course","008t4","glucose","4","2/13/13","JA13558",1.38e+10,2.76e+09,1,NA,"t","glucose_t4","008","008"
18,"MURI_018","glucose_time_course","008t5","glucose","5","2/13/13","JA13558",2.48e+08,49600000,1,NA,"t","glucose_t5","008","008"
19,"MURI_019","glucose_time_course","008t6","glucose","6","2/13/13","JA13558",5.8e+08,1.16e+08,1,NA,"t","glucose_t6","008","008"
20,"MURI_020","glucose_time_course","008t8","glucose","8","2/13/13","JA13558",7.88e+08,1.58e+08,1,NA,"t","glucose_t8","008","008"
21,"MURI_021","glucose_time_course","008t24","glucose","24","2/14/13","JA13558",7.76e+08,1.55e+08,1,NA,"t","glucose_t24","008","008"
22,"MURI_022","glucose_time_course","008t48","glucose","48","2/15/13","JA13558",7.04e+08,1.41e+08,1,NA,"t","glucose_t48","008","008"
23,"MURI_023","glucose_time_course","008t1wk","glucose","168","2/20/13","JA13558",6.16e+08,1.23e+08,1,NA,"t","glucose_t168","008","008"
24,"MURI_024","glucose_time_course","008t2wk","glucose","336","2/27/13","JA13558",5.84e+08,1.17e+08,1,NA,"t","glucose_t336","008","008"
25,"MURI_025","glucose_time_course","009t3","glucose","3","2/20/13","JA13618",1.4e+10,2.8e+09,2,NA,"t","glucose_t3","009","009"
26,"MURI_026","glucose_time_course","009t4","glucose","4","2/20/13","JA13618",1.74e+10,3.48e+09,2,NA,"t","glucose_t4","009","009"
27,"MURI_027","glucose_time_course","009t5","glucose","5","2/20/13","JA13618",2.44e+08,48800000,2,NA,"t","glucose_t5","009","009"
28,"MURI_028","glucose_time_course","009t6","glucose","6","2/20/13","JA13618",4.88e+08,97600000,2,NA,"t","glucose_t6","009","009"
29,"MURI_029","glucose_time_course","009t8","glucose","8","2/20/13","JA13618",7.92e+08,1.58e+08,2,NA,"t","glucose_t8","009","009"
30,"MURI_030","glucose_time_course","009t24","glucose","24","2/21/13","JA13618",7.8e+08,1.56e+08,2,NA,"t","glucose_t24","009","009"
31,"MURI_031","glucose_time_course","009t48","glucose","48","2/22/13","JA13618",6.96e+08,1.39e+08,2,NA,"t","glucose_t48","009","009"
32,"MURI_032","glucose_time_course","009t1wk","glucose","168","2/27/13","JA13618",6.28e+08,1.26e+08,2,NA,"t","glucose_t168","009","009"
33,"MURI_033","glucose_time_course","009t2wk","glucose","336","3/6/13","JA13618",5.72e+08,1.14e+08,2,NA,"t","glucose_t336","009","009"
34,"MURI_034","glycerol_time_course","010t5","glycerol","5","7/17/13","JA14228",1.9e+08,1.9e+07,3,NA,"t","glycerol_t5","010","010"
35,"MURI_035","glycerol_time_course","010t7","glycerol","7","7/17/13","JA14228",2.4e+08,2.4e+07,3,NA,"t","glycerol_t7","010","010"
36,"MURI_036","glycerol_time_course","010t8","glycerol","8","7/17/13","JA14228",1.82e+08,18200000,3,NA,"t","glycerol_t8","010","010"
37,"MURI_037","glycerol_time_course","010t10","glycerol","10","7/17/13","JA14228",1.87e+08,18700000,3,NA,"t","glycerol_t10","010","010"
38,"MURI_038","glycerol_time_course","010t14","glycerol","14","7/17/13","JA14228",2.47e+08,24700000,3,NA,"t","glycerol_t14","010","010"
39,"MURI_039","glycerol_time_course","010t24","glycerol","24","7/18/13","JA14228",2.2e+08,2.2e+07,3,NA,"t","glycerol_t24","010","010"
40,"MURI_040","glycerol_time_course","010t48","glycerol","48","7/19/13","JA14228",1.94e+08,19400000,4,NA,"t","glycerol_t48","010","010"
41,"MURI_041","glycerol_time_course","010t1wk","glycerol","168","7/24/13","JA14228",1.68e+08,16800000,4,NA,"t","glycerol_t168","010","010"
42,"MURI_042","glycerol_time_course","010t2wk","glycerol","336","7/31/13","JA14228",1.43e+08,14300000,4,NA,"t","glycerol_t336","010","010"
43,"MURI_043","glycerol_time_course","011t5","glycerol","5","2013-08-06","SA14140",2.4e+08,2.4e+07,4,NA,"t","glycerol_t5","011","011"
44,"MURI_044","glycerol_time_course","011t7","glycerol","7","2013-08-06","SA14140",2.75e+08,27500000,4,NA,"t","glycerol_t7","011","011"
45,"MURI_045","glycerol_time_course","011t8","glycerol","8","2013-08-06","SA14140",1.82e+08,18200000,4,NA,"t","glycerol_t8","011","011"
46,"MURI_046","glycerol_time_course","011t10","glycerol","10","2013-08-06","SA14140",1.97e+08,19700000,4,NA,"t","glycerol_t10","011","011"
47,"MURI_047","glycerol_time_course","011t14","glycerol","14","2013-08-06","SA14140",2.36e+08,23600000,4,NA,"t","glycerol_t14","011","011"
48,"MURI_048","glycerol_time_course","011t24","glycerol","24","2013-08-07","SA14155",1.88e+08,18800000,4,NA,"t","glycerol_t24","011","011"
49,"MURI_049","glycerol_time_course","011t48","glycerol","48","2013-08-08","SA14155",1.76e+08,17600000,4,NA,"t","glycerol_t48","011","011"
50,"MURI_050","glycerol_time_course","011t1wk","glycerol","168","2013-08-13","SA14155",1.23e+08,12300000,4,NA,"t","glycerol_t168","011","011"
52,"MURI_052","glycerol_time_course","012t5","glycerol","5","2013-08-14","SA14140",1.8e+08,1.8e+07,4,NA,"t","glycerol_t5","012","012"
53,"MURI_053","glycerol_time_course","012t7","glycerol","7","2013-08-14","SA14155",2.4e+08,2.4e+07,3,NA,"t","glycerol_t7","012","012"
54,"MURI_054","glycerol_time_course","012t8","glycerol","8","2013-08-14","SA14155",1.8e+08,1.8e+07,4,NA,"t","glycerol_t8","012","012"
55,"MURI_055","glycerol_time_course","012t10","glycerol","10","2013-08-14","JA14685",3.88e+08,38800000,4,NA,"t","glycerol_t10","012","012"
56,"MURI_056","glycerol_time_course","012t14","glycerol","14","2013-08-14","SA14155",4.44e+08,44400000,4,NA,"t","glycerol_t14","012","012"
57,"MURI_057","glycerol_time_course","012t24","glycerol","24","2013-08-15","SA14155",3.9e+08,3.9e+07,4,NA,"t","glycerol_t24","012","012"
58,"MURI_058","glycerol_time_course","012t48","glycerol","48","2013-08-16","SA14155",3.68e+08,36800000,4,NA,"t","glycerol_t48","012","012"
61,"MURI_061","NaCl_stress","013E005","glucose+NaCl","5.5","2013-09-17","SA14155",1.1e+10,1.1e+09,4,"005.00","E_","glucose+NaCl_E005.00","013_005.00","013"
64,"MURI_064","NaCl_stress","013E300","glucose+NaCl","8","2013-09-17","JA14685",2.1e+10,2.1e+09,4,"300.00","E_","glucose+NaCl_E300.00","013_300.00","013"
65,"MURI_065","NaCl_stress","013S005","glucose+NaCl","28","2013-09-18","JA14685",6.9e+09,6.9e+08,4,"005.00","S_","glucose+NaCl_S005.00","013_005.00","013"
66,"MURI_066","NaCl_stress","013S100","glucose+NaCl","28","2013-09-18","JA14685",2.1e+10,2.1e+09,4,"100.00","S_","glucose+NaCl_S100.00","013_100.00","013"
67,"MURI_067","NaCl_stress","013S200","glucose+NaCl","28","2013-09-18","JA14685",1e+10,1e+09,4,"200.00","S_","glucose+NaCl_S200.00","013_200.00","013"
68,"MURI_068","NaCl_stress","013S300","glucose+NaCl","28","2013-11-18","SA14155",1.8e+10,1.8e+09,4,"300.00","S_","glucose+NaCl_S300.00","013_300.00","013"
69,"MURI_069","NaCl_stress","014E005","glucose+NaCl","6","2013-11-21","SA14155",4.2e+10,4.2e+09,4,"005.00","E_","glucose+NaCl_E005.00","014_005.00","014"
70,"MURI_070","NaCl_stress","014E100","glucose+NaCl","6.5","2013-11-21","SA14140",4e+10,4e+09,5,"100.00","E_","glucose+NaCl_E100.00","014_100.00","014"
71,"MURI_071","NaCl_stress","014E200","glucose+NaCl","8","2013-11-21","SA14155",4.3e+10,4.3e+09,5,"200.00","E_","glucose+NaCl_E200.00","014_200.00","014"
72,"MURI_072","NaCl_stress","014E300","glucose+NaCl","10","2013-11-21","SA14155",4.3e+10,4.3e+09,5,"300.00","E_","glucose+NaCl_E300.00","014_300.00","014"
73,"MURI_073","NaCl_stress","014S005","glucose+NaCl","29","2013-11-22","SA14155",4.3e+10,4.3e+09,5,"005.00","S_","glucose+NaCl_S005.00","014_005.00","014"
74,"MURI_074","NaCl_stress","014S100","glucose+NaCl","29","2013-11-22","SA14155",3.9e+10,3.9e+09,5,"100.00","S_","glucose+NaCl_S100.00","014_100.00","014"
75,"MURI_075","NaCl_stress","014S200","glucose+NaCl","29","2013-11-22","SA14155",4.2e+10,4.2e+09,5,"200.00","S_","glucose+NaCl_S200.00","014_200.00","014"
76,"MURI_076","NaCl_stress","014S300","glucose+NaCl","29","2013-11-22","SA14155",3.6e+10,3.6e+09,5,"300.00","S_","glucose+NaCl_S300.00","014_300.00","014"
77,"MURI_077","NaCl_stress","015E005","glucose+NaCl","5.5","2013-11-14","SA14155",3.6e+10,3.6e+09,5,"005.00","E_","glucose+NaCl_E005.00","015_005.00","015"
79,"MURI_079","NaCl_stress","015E200","glucose+NaCl","8","2013-11-14","SA14140",3.9e+10,3.9e+09,5,"200.00","E_","glucose+NaCl_E200.00","015_200.00","015"
80,"MURI_080","NaCl_stress","015E300","glucose+NaCl","10","2013-11-14","SA14140",4.5e+10,4.5e+09,5,"300.00","E_","glucose+NaCl_E300.00","015_300.00","015"
81,"MURI_081","NaCl_stress","015S005","glucose+NaCl","29","2013-11-15","SA14140",4.1e+10,4.1e+09,5,"005.00","S_","glucose+NaCl_S005.00","015_005.00","015"
82,"MURI_082","NaCl_stress","015S100","glucose+NaCl","29","2013-11-15","SA14140",4e+10,4e+09,5,"100.00","S_","glucose+NaCl_S100.00","015_100.00","015"
84,"MURI_084","NaCl_stress","015S300","glucose+NaCl","29","2013-11-15","SA14140",3.3e+10,3.3e+09,5,"300.00","S_","glucose+NaCl_S300.00","015_300.00","015"
85,"MURI_085","Lactate_growth","016E","lactate","9","2013-10-10","SA14140",6.4e+09,6.4e+08,5,NA,"E0","lactate_E","016","016"
