Sample,Experiment,Batch,Growth.Conditions,Growth.time,Harvest.Date,Notes.NGS,Cell_total,cells_per_tube,tubes_in_storage
MURI_001,pilot_24_hour,1,base,24,11/13/12,JA13220,,,1
MURI_002,pilot_24_hour,2,base,24,11/13/12,JA13220,,,1
MURI_003,pilot_24_hour,3,base,24,11/15/12,JA13220,,,1
MURI_004,pilot_mid-log,4,base,4.5,11/28/12,JA13220,,,1
MURI_005,pilot_mid-log,5,base,4.5,11/28/12,JA13220,,,1
MURI_006,pilot_mid-log,6,base,4.5,11/29/12,JA13220,,,1
MURI_007,glucose_time_course,007t3,glucose,3,1/24/13,re-done as 97,1.50E+10,3.00E+09,1
MURI_008,glucose_time_course,007t4,glucose,4,1/24/13,re-done as 98,1.50E+10,3.00E+09,1
MURI_009,glucose_time_course,007t5,glucose,5,1/24/13,re-done as 99,2.48E+08,4.96E+07,1
MURI_010,glucose_time_course,007t6,glucose,6,1/24/13,re-done as 100,5.60E+08,1.12E+08,1
MURI_011,glucose_time_course,007t8,glucose,8,1/24/13,re-done as 101,8.12E+08,1.62E+08,1
MURI_012,glucose_time_course,007t24,glucose,24,1/25/13,re-done as 102,7.84E+08,1.57E+08,1
MURI_013,glucose_time_course,007t48,glucose,48,1/26/13,re-done as 103,7.20E+08,1.44E+08,1
MURI_014,glucose_time_course,007t1wk,glucose,168,1/31/13,re-done as 104,6.04E+08,1.21E+08,1
MURI_015,glucose_time_course,007t2wk,glucose,336,2/7/13,re-done as 105,5.80E+08,1.16E+08,1
MURI_016,glucose_time_course,008t3,glucose,3,2/13/13,JA13558,1.10E+10,2.20E+09,1
MURI_017,glucose_time_course,008t4,glucose,4,2/13/13,JA13558,1.38E+10,2.76E+09,1
MURI_018,glucose_time_course,008t5,glucose,5,2/13/13,JA13558,2.48E+08,4.96E+07,1
MURI_019,glucose_time_course,008t6,glucose,6,2/13/13,JA13558,5.80E+08,1.16E+08,1
MURI_020,glucose_time_course,008t8,glucose,8,2/13/13,JA13558,7.88E+08,1.58E+08,1
MURI_021,glucose_time_course,008t24,glucose,24,2/14/13,JA13558,7.76E+08,1.55E+08,1
MURI_022,glucose_time_course,008t48,glucose,48,2/15/13,JA13558,7.04E+08,1.41E+08,1
MURI_023,glucose_time_course,008t1wk,glucose,168,2/20/13,JA13558,6.16E+08,1.23E+08,1
MURI_024,glucose_time_course,008t2wk,glucose,336,2/27/13,JA13558,5.84E+08,1.17E+08,1
MURI_025,glucose_time_course,009t3,glucose,3,2/20/13,JA13618,1.40E+10,2.80E+09,2
MURI_026,glucose_time_course,009t4,glucose,4,2/20/13,JA13618,1.74E+10,3.48E+09,2
MURI_027,glucose_time_course,009t5,glucose,5,2/20/13,JA13618,2.44E+08,4.88E+07,2
MURI_028,glucose_time_course,009t6,glucose,6,2/20/13,JA13618,4.88E+08,9.76E+07,2
MURI_029,glucose_time_course,009t8,glucose,8,2/20/13,JA13618,7.92E+08,1.58E+08,2
MURI_030,glucose_time_course,009t24,glucose,24,2/21/13,JA13618,7.80E+08,1.56E+08,2
MURI_031,glucose_time_course,009t48,glucose,48,2/22/13,JA13618,6.96E+08,1.39E+08,2
MURI_032,glucose_time_course,009t1wk,glucose,168,2/27/13,JA13618,6.28E+08,1.26E+08,2
MURI_033,glucose_time_course,009t2wk,glucose,336,3/6/13,JA13618,5.72E+08,1.14E+08,2
MURI_034,æglycerol_time_course,010t5æ,glycerol,5,7/17/13,JA14228,1.90E+08,1.90E+07,3
MURI_035,glycerol_time_course,010t7,glycerol,7,7/17/13,JA14228,2.40E+08,2.40E+07,3
MURI_036,glycerol_time_course,010t8,glycerol,8,7/17/13,JA14228,1.82E+08,1.82E+07,3
MURI_037,glycerol_time_course,010t10,glycerol,10,7/17/13,JA14228,1.87E+08,1.87E+07,3
MURI_038,glycerol_time_course,010t14,glycerol,14,7/17/13,JA14228,2.47E+08,2.47E+07,3
MURI_039,glycerol_time_course,010t24,glycerol,24,7/18/13,JA14228,2.20E+08,2.20E+07,3
MURI_040,glycerol_time_course,010t48,glycerol,48,7/19/13,JA14228,1.94E+08,1.94E+07,4
MURI_041,glycerol_time_course,010t1wk,glycerol,168,7/24/13,JA14228,1.68E+08,1.68E+07,4
MURI_042,glycerol_time_course,010t2wk,glycerol,336,7/31/13,JA14228,1.43E+08,1.43E+07,4
MURI_043,glycerol_time_course,011t5,glycerol,5,8/6/13,SA14140,2.40E+08,2.40E+07,4
MURI_044,glycerol_time_course,011t7,glycerol,7,8/6/13,SA14140,2.75E+08,2.75E+07,4
MURI_045,glycerol_time_course,011t8,glycerol,8,8/6/13,SA14140,1.82E+08,1.82E+07,4
MURI_046,glycerol_time_course,011t10,glycerol,10,8/6/13,SA14140,1.97E+08,1.97E+07,4
MURI_047,glycerol_time_course,011t14,glycerol,14,8/6/13,SA14140,2.36E+08,2.36E+07,4
MURI_048,glycerol_time_course,011t24,glycerol,24,8/7/13,SA14155,1.88E+08,1.88E+07,4
MURI_049,glycerol_time_course,011t48,glycerol,48,8/8/13,SA14155,1.76E+08,1.76E+07,4
MURI_050,glycerol_time_course,011t1wk,glycerol,168,8/13/13,SA14155,1.23E+08,1.23E+07,4
MURI_051,glycerol_time_course,011t2wk,glycerol,336,8/20/13,JA14680,1.13E+08,1.13E+07,4
MURI_052,glycerol_time_course,012t5,glycerol,5,8/14/13,SA14140,1.80E+08,1.80E+07,4
MURI_053,glycerol_time_course,012t7,glycerol,7,8/14/13,SA14155,2.40E+08,2.40E+07,3
MURI_054,glycerol_time_course,012t8,glycerol,8,8/14/13,SA14155,1.80E+08,1.80E+07,4
MURI_055,glycerol_time_course,012t10,glycerol,10,8/14/13,JA14685,3.88E+08,3.88E+07,4
MURI_056,glycerol_time_course,012t14,glycerol,14,8/14/13,SA14155,4.44E+08,4.44E+07,4
MURI_057,glycerol_time_course,012t24,glycerol,24,8/15/13,SA14155,3.90E+08,3.90E+07,4
MURI_058,glycerol_time_course,012t48,glycerol,48,8/16/13,SA14155,3.68E+08,3.68E+07,4
MURI_059,glycerol_time_course,012t1wk,glycerol,168,8/21/13,JA14685,2.88E+08,2.88E+07,4
MURI_060,glycerol_time_course,012t2wk,glycerol,336,8/28/13,JA14685,2.52E+08,2.52E+07,4
MURI_061,NaCl_stress,1.30E+06,glucose + NaCl,5.5,9/17/13,SA14155,1.10E+10,1.10E+09,4
MURI_062,NaCl_stress,1.30E+101,glucose + NaCl,5.5,9/17/13,JA14685,2.00E+10,2.00E+09,4
MURI_063,NaCl_stress,1.30E+201,glucose + NaCl,6,9/17/13,JA14685,9.30E+09,9.30E+08,4
MURI_064,NaCl_stress,1.30E+301,glucose + NaCl,8,9/17/13,JA14685,2.10E+10,2.10E+09,4
MURI_065,NaCl_stress,013S005,glucose + NaCl,28,9/18/13,JA14685,6.90E+09,6.90E+08,4
MURI_066,NaCl_stress,013S100,glucose + NaCl,28,9/18/13,JA14685,2.10E+10,2.10E+09,4
MURI_067,NaCl_stress,013S200,glucose + NaCl,28,9/18/13,JA14685,1.00E+10,1.00E+09,4
MURI_068,NaCl_stress,013S300,glucose + NaCl,28,11/18/13,SA14155,1.80E+10,1.80E+09,4
MURI_069,NaCl_stress,1.40E+06,glucose + NaCl,6,11/21/13,SA14155,4.20E+10,4.20E+09,4
MURI_070,NaCl_stress,1.40E+101,glucose + NaCl,6.5,11/21/13,SA14140,4.00E+10,4.00E+09,5
MURI_071,NaCl_stress,1.40E+201,glucose + NaCl,8,11/21/13,SA14155,4.30E+10,4.30E+09,5
MURI_072,NaCl_stress,1.40E+301,glucose + NaCl,10,11/21/13,SA14155,4.30E+10,4.30E+09,5
MURI_073,NaCl_stress,014S005,glucose + NaCl,29,11/22/13,SA14155,4.30E+10,4.30E+09,5
MURI_074,NaCl_stress,014S100,glucose + NaCl,29,11/22/13,SA14155,3.90E+10,3.90E+09,5
MURI_075,NaCl_stress,014S200,glucose + NaCl,29,11/22/13,SA14155,4.20E+10,4.20E+09,5
MURI_076,NaCl_stress,014S300,glucose + NaCl,29,11/22/13,SA14155,3.60E+10,3.60E+09,5
MURI_077,NaCl_stress,1.50E+06,glucose + NaCl,5.5,11/14/13,SA14155,3.60E+10,3.60E+09,5
MURI_078,NaCl_stress,1.50E+101,glucose + NaCl,7.5,11/14/13,JA14685,4.00E+10,4.00E+09,5
MURI_079,NaCl_stress,1.50E+201,glucose + NaCl,8,11/14/13,SA14140,3.90E+10,3.90E+09,5
MURI_080,NaCl_stress,1.50E+301,glucose + NaCl,10,11/14/13,SA14140,4.50E+10,4.50E+09,5
MURI_081,NaCl_stress,015S005,glucose + NaCl,29,11/15/13,SA14140,4.10E+10,4.10E+09,5
MURI_082,NaCl_stress,015S100,glucose + NaCl,29,11/15/13,SA14140,4.00E+10,4.00E+09,5
MURI_083,NaCl_stress,015S200,glucose + NaCl,29,11/15/13,SA14140,3.50E+10,3.50E+09,5
MURI_084,NaCl_stress,015S300,glucose + NaCl,29,11/15/13,SA14140,3.30E+10,3.30E+09,5
MURI_085,Lactate_growth,016E,lactate,9,10/10/13,SA14140,6.40E+09,6.40E+08,5
MURI_086,Lactate_growth,016S,lactate,29,10/11/13,SA14140,1.20E+10,1.20E+09,5
MURI_087,Lactate_growth,017E,lactate,8,10/16/13,SA14140,4.60E+09,4.60E+08,5
MURI_088,Lactate_growth,017S,lactate,29,10/17/13,SA14140,1.10E+10,1.10E+09,5
